,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
477,Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,10,6,604,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.06,0,0.06,0.06,0.06,Matches,953c30b0
478,Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,11,10,735,8.2,0,0,0,0,0,4,1,0,0,0,0,0,0.4,0.4,0.4,0.7,0.05,0.05,0.09,0.05,0.09,Matches,e9971f2d
479,Matt Targett,eng ENG,DF,Aston Villa,25,1995,17,17,1431,15.9,1,1,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13,0.5,0.5,2.2,2.7,0.03,0.14,0.17,0.03,0.17,Matches,e514ab62
480,Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16,16,1440,16,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,1.6,1.9,0.02,0.1,0.12,0.02,0.12,Matches,e514ab62
481,James Tarkowski,eng ENG,DF,Burnley,28,1992,35,35,3106,34.5,1,2,1,0,0,11,0,0.03,0.06,0.09,0.03,0.09,2,2,0.6,2.6,0.06,0.02,0.08,0.06,0.08,Matches,15ea812b
482,Nuno Tavares,pt POR,DF,Arsenal,21,2000,22,13,1176,13.1,1,1,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,1.5,1.5,1,2.5,0.11,0.08,0.19,0.11,0.19,Matches,a65c844b
483,Charlie Taylor,eng ENG,DF,Burnley,27,1993,31,30,2731,30.3,0,3,0,0,0,3,0,0,0.1,0.1,0,0.1,0.2,0.2,3.5,3.7,0.01,0.11,0.12,0.01,0.12,Matches,cc2d7ad5
484,Nathan Tella,eng ENG,MFFW,Southampton,22,1999,14,10,804,8.9,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,0.5,0.5,0.7,1.3,0.06,0.08,0.14,0.06,0.14,Matches,f1e94cd6
485,Alex Telles,br BRA,DF,Manchester Utd,28,1992,21,18,1660,18.4,0,4,0,0,0,1,0,0,0.22,0.22,0,0.22,0.5,0.5,2,2.4,0.03,0.11,0.13,0.03,0.13,Matches,e73c9bb2
486,Luke Thomas,eng ENG,DF,Leicester City,20,2001,22,21,1912,21.2,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,0.2,0.2,1.6,1.8,0.01,0.07,0.08,0.01,0.08,Matches,fc027d02
487,Dominic Thompson,eng ENG,DF,Brentford,21,2000,2,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,235a62f8
488,Youri Tielemans,be BEL,MF,Leicester City,24,1997,32,29,2631,29.2,6,4,4,2,2,3,0,0.21,0.14,0.34,0.14,0.27,4.6,3.1,4.9,7.9,0.16,0.17,0.32,0.11,0.27,Matches,56f7a928
489,Kieran Tierney,sct SCO,DF,Arsenal,24,1997,22,22,1915,21.3,1,3,1,0,0,0,0,0.05,0.14,0.19,0.05,0.19,0.7,0.7,1.9,2.6,0.03,0.09,0.12,0.03,0.12,Matches,fce2302c
490,Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,21,20,1679,18.7,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,0.8,0.8,0.6,1.4,0.04,0.03,0.08,0.04,0.08,Matches,b3af9be1
491,James Tomkins,eng ENG,DF,Crystal Palace,32,1989,8,6,547,6.1,1,0,1,0,0,2,0,0.16,0,0.16,0.16,0.16,0.6,0.6,0.4,0.9,0.09,0.06,0.15,0.09,0.15,Matches,e7ca0439
492,Ivan Toney,eng ENG,FW,Brentford,25,1996,33,32,2909,32.3,12,5,7,5,5,8,0,0.37,0.15,0.53,0.22,0.37,12,8.2,5.8,14,0.37,0.18,0.55,0.25,0.43,Matches,e09f279b
493,Ferrán Torres,es ESP,FW,Manchester City,21,2000,4,4,303,3.4,2,1,2,0,0,0,0,0.59,0.3,0.89,0.59,0.89,2.5,2.5,0,2.5,0.74,0.01,0.75,0.74,0.75,Matches,9e1035f8
494,Cenk Tosun,tr TUR,FW,Everton,30,1991,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9a104dee
495,Andros Townsend,eng ENG,MF,Everton,30,1991,21,17,1455,16.2,3,2,2,1,1,3,0,0.19,0.12,0.31,0.12,0.25,2.3,1.5,2.4,3.9,0.14,0.15,0.29,0.09,0.24,Matches,b28bbd58
496,Adama Traoré,es ESP,FW,Wolves,25,1996,20,10,1067,11.9,1,0,1,0,0,0,0,0.08,0,0.08,0.08,0.08,2.4,2.4,1.7,4.1,0.2,0.15,0.35,0.2,0.35,Matches,9a28eba4
497,Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,9,1,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.13,0,0.13,0.13,0.13,Matches,c47541e0
498,Trézéguet,eg EGY,FW,Aston Villa,26,1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.51,0,0.51,0.51,0.51,Matches,3ae14ed1
499,Francisco Trincão,pt POR,FWMF,Wolves,21,1999,28,16,1336,14.8,2,1,2,0,0,0,0,0.13,0.07,0.2,0.13,0.2,3.4,3.4,1.2,4.6,0.23,0.08,0.31,0.23,0.31,Matches,77e39b04
500,Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,6,5,429,4.8,2,0,2,0,0,0,0,0.42,0,0.42,0.42,0.42,0.1,0.1,0.4,0.6,0.03,0.09,0.12,0.03,0.12,Matches,21512407
501,William Troost-Ekong,ng NGA,DF,Watford,27,1993,17,15,1390,15.4,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.01,0.01,0.01,Matches,7ed4921e
502,Leandro Trossard,be BEL,FWMF,Brighton,26,1994,34,32,2805,31.2,8,3,7,1,1,2,0,0.26,0.1,0.35,0.22,0.32,6.8,6,4.1,10.1,0.22,0.13,0.35,0.19,0.32,Matches,38ceb24a
503,Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,13,9,877,9.7,0,2,0,0,0,3,0,0,0.21,0.21,0,0.21,0.5,0.5,2.6,3.1,0.06,0.26,0.32,0.06,0.32,Matches,f315ca93
504,Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,9,6,508,5.6,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03,Matches,2baec6ce
505,Ozan Tufan,tr TUR,MF,Watford,26,1995,7,4,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.8,0.14,0.07,0.2,0.14,0.2,Matches,17d45fb2
506,Christos Tzolis,gr GRE,FWMF,Norwich City,19,2002,14,3,336,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1.4,0.13,0.26,0.38,0.13,0.38,Matches,9f333379
507,Yan Valery,fr FRA,DF,Southampton,22,1999,5,3,370,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches,531a4aa8
508,Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,22,20,1831,20.3,1,1,1,0,0,0,0,0.05,0.05,0.1,0.05,0.1,0.8,0.8,0.2,1,0.04,0.01,0.05,0.04,0.05,Matches,9f8e9423
509,Jamie Vardy,eng ENG,FW,Leicester City,34,1987,25,20,1806,20.1,15,2,15,0,0,2,0,0.75,0.1,0.85,0.75,0.85,9.5,9.5,1.6,11.1,0.47,0.08,0.55,0.47,0.55,Matches,45963054
510,Joël Veltman,nl NED,DF,Brighton,29,1992,34,33,2874,31.9,1,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,0.9,0.9,1.1,2,0.03,0.03,0.06,0.03,0.06,Matches,dad4b285
511,Jannik Vestergaard,dk DEN,DF,Leicester City,28,1992,10,6,567,6.3,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0.01,0.01,0.01,0.01,Matches,1900032e
512,Nikola Vlašić,hr CRO,FWMF,West Ham,23,1997,19,6,560,6.2,1,0,1,0,0,0,0,0.16,0,0.16,0.16,0.16,1,1,0.4,1.4,0.16,0.07,0.23,0.16,0.23,Matches,aa8e289e
513,Matěj Vydra,cz CZE,FW,Burnley,29,1992,22,5,679,7.5,2,3,2,0,0,1,0,0.27,0.4,0.66,0.27,0.66,3,3,0.6,3.6,0.4,0.08,0.48,0.4,0.48,Matches,0d4ceb32
514,Theo Walcott,eng ENG,MFFW,Southampton,32,1989,9,5,379,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,0.17,0.01,0.18,0.17,0.18,Matches,1ecb65be
515,Kyle Walker,eng ENG,DF,Manchester City,31,1990,20,20,1755,19.5,0,2,0,0,0,1,0,0,0.1,0.1,0,0.1,0.3,0.3,1.2,1.4,0.01,0.06,0.07,0.01,0.07,Matches,86dd77d1
516,Kyle Walker-Peters,eng ENG,DF,Southampton,24,1997,32,29,2633,29.3,1,2,1,0,0,5,0,0.03,0.07,0.1,0.03,0.1,1,1,2.9,3.8,0.03,0.1,0.13,0.03,0.13,Matches,984a5a64
517,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23,1997,20,20,1793,19.9,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches,9e525177
518,Danny Ward,wls WAL,GK,Leicester City,28,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d3ce0e89
519,Joel Ward,eng ENG,DF,Crystal Palace,31,1989,28,27,2487,27.6,0,0,0,0,0,8,0,0,0,0,0,0,0.4,0.4,0.6,1,0.01,0.02,0.03,0.01,0.03,Matches,8a7ff278
520,James Ward-Prowse,eng ENG,MF,Southampton,26,1994,36,36,3215,35.7,10,5,6,4,4,3,1,0.28,0.14,0.42,0.17,0.31,5.4,2.3,6.2,8.5,0.15,0.17,0.32,0.07,0.24,Matches,3515d404
521,Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,35,33,2952,32.8,11,2,10,1,1,7,0,0.34,0.06,0.4,0.3,0.37,12.2,11.4,2.9,14.3,0.37,0.09,0.46,0.35,0.44,Matches,aed3a70f
522,Adam Webster,eng ENG,DF,Brighton,26,1995,22,16,1434,15.9,2,0,2,0,0,5,0,0.13,0,0.13,0.13,0.13,1.1,1.1,0.1,1.2,0.07,0,0.08,0.07,0.08,Matches,c40b6180
523,Wout Weghorst,nl NED,FW,Burnley,28,1992,20,17,1450,16.1,2,3,2,0,0,3,0,0.12,0.19,0.31,0.12,0.31,4.2,4.2,1.4,5.7,0.26,0.09,0.35,0.26,0.35,Matches,c4e87b8b
524,Danny Welbeck,eng ENG,FW,Brighton,30,1990,25,15,1478,16.4,6,2,6,0,0,0,0,0.37,0.12,0.49,0.37,0.49,6.1,6.1,1,7.1,0.37,0.06,0.44,0.37,0.44,Matches,ce5143da
525,Timo Werner,de GER,FWMF,Chelsea,25,1996,21,15,1283,14.3,4,1,4,0,0,1,0,0.28,0.07,0.35,0.28,0.35,7.6,7.6,0.4,8,0.53,0.03,0.56,0.53,0.56,Matches,49fe9070
526,Ashley Westwood,eng ENG,MF,Burnley,31,1990,27,26,2287,25.4,0,3,0,0,0,7,0,0,0.12,0.12,0,0.12,0.8,0.8,3.6,4.3,0.03,0.14,0.17,0.03,0.17,Matches,495945ef
527,Ben White,eng ENG,DF,Arsenal,23,1997,32,32,2880,32,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0.6,1.6,0.03,0.02,0.05,0.03,0.05,Matches,35e413f1
528,Brandon Williams,eng ENG,DF,Norwich City,20,2000,26,23,2120,23.6,0,1,0,0,0,8,0,0,0.04,0.04,0,0.04,0.2,0.2,1.3,1.5,0.01,0.05,0.06,0.01,0.06,Matches,5e74d6c8
529,Neco Williams,wls WAL,DF,Liverpool,20,2001,1,0,8,0.1,0,1,0,0,0,0,0,0,11.25,11.25,0,11.25,0,0,0.6,0.6,0,6.5,6.5,0,6.5,Matches,dd323728
530,Joe Willock,eng ENG,MF,Newcastle Utd,21,1999,29,24,2038,22.6,2,0,2,0,0,0,0,0.09,0,0.09,0.09,0.09,3.6,3.6,1.2,4.8,0.16,0.05,0.21,0.16,0.21,Matches,a3b03921
531,Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,18,16,1386,15.4,8,0,6,2,2,4,0,0.52,0,0.52,0.39,0.39,6.5,5,0.6,5.5,0.42,0.04,0.46,0.32,0.36,Matches,c596fcb0
532,Harry Winks,eng ENG,MF,Tottenham,25,1996,19,9,912,10.1,0,1,0,0,0,2,0,0,0.1,0.1,0,0.1,0.1,0.1,1.5,1.6,0.01,0.15,0.16,0.01,0.16,Matches,2f7acede
533,Yoane Wissa,cd COD,FWMF,Brentford,24,1996,30,12,1284,14.3,7,1,7,0,0,0,0,0.49,0.07,0.56,0.49,0.56,3.7,3.7,0.7,4.4,0.26,0.05,0.31,0.26,0.31,Matches,2500cef9
534,Chris Wood,nz NZL,FW,Burnley,29,1991,17,17,1367,15.2,3,0,3,0,0,1,0,0.2,0,0.2,0.2,0.2,4.5,4.5,0.2,4.7,0.3,0.02,0.31,0.3,0.31,Matches,4e9a0555
535,Chris Wood,nz NZL,FW,Newcastle Utd,29,1991,17,15,1327,14.7,2,0,1,1,1,0,0,0.14,0,0.14,0.07,0.07,2.9,2.1,1,3.1,0.19,0.07,0.26,0.14,0.21,Matches,4e9a0555
536,Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,19e50035
537,Granit Xhaka,ch SUI,MFDF,Arsenal,28,1992,27,27,2327,25.9,1,2,1,0,0,10,1,0.04,0.08,0.12,0.04,0.12,1.2,1.2,2.3,3.5,0.05,0.09,0.14,0.05,0.14,Matches,e61b8aee
538,Andriy Yarmolenko,ua UKR,FW,West Ham,31,1989,19,1,316,3.5,1,0,1,0,0,1,0,0.28,0,0.28,0.28,0.28,0.8,0.8,0.2,1,0.24,0.05,0.29,0.24,0.29,Matches,849c826a
539,Ashley Young,eng ENG,DFFW,Aston Villa,36,1985,24,10,1250,13.9,0,2,0,0,0,2,0,0,0.14,0.14,0,0.14,0.4,0.4,0.7,1.1,0.03,0.05,0.08,0.03,0.08,Matches,be927d03
540,Nathan Young-Coombes,eng ENG,FW,Brentford,18,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f9682888
541,Wilfried Zaha,ci CIV,FW,Crystal Palace,28,1992,33,31,2760,30.7,14,1,9,5,7,6,1,0.46,0.03,0.49,0.29,0.33,9.4,4,4.8,8.8,0.31,0.16,0.46,0.13,0.29,Matches,b2bc3b1f
542,Christoph Zimmermann,de GER,DF,Norwich City,28,1993,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches,2d5f03bf
543,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24,1996,15,10,1047,11.6,0,4,0,0,0,0,0,0,0.34,0.34,0,0.34,0.4,0.4,2,2.5,0.04,0.18,0.21,0.04,0.21,Matches,51cf8561
544,Hakim Ziyech,ma MAR,FWMF,Chelsea,28,1993,23,14,1319,14.7,4,3,4,0,0,3,0,0.27,0.2,0.48,0.27,0.48,3.4,3.4,3.5,6.9,0.23,0.24,0.47,0.23,0.47,Matches,6622454d
545,Kurt Zouma,fr FRA,DF,West Ham,26,1994,24,24,2078,23.1,1,0,1,0,0,1,0,0.04,0,0.04,0.04,0.04,0.9,0.9,0,0.9,0.04,0,0.04,0.04,0.04,Matches,ce4246f5
546,Martin Ødegaard,no NOR,MF,Arsenal,22,1998,36,32,2785,30.9,7,4,7,0,0,4,0,0.23,0.13,0.36,0.23,0.36,4.8,4.8,6.8,11.6,0.16,0.22,0.38,0.16,0.38,Matches,79300479
